นิติบุคคลจัดตั้งเดือนเมษายน  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
26,0133559002027,หจ.เลย์แมน เทรดดิ้ง,26/4/2559," 1,000,000 ",10307,ประกอบกิจการผลิต นำเข้า และจำหน่าย ผลิตภัณฑ์ ถั่วดาวอินคาทุกชนิด,177/235 หมู่ที่ 1  ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
27,0135559007209,บจ.ไอ.พี.พร็อพเพอร์ตี้ คอนซัลแทนส์ จำกัด,1/4/2559," 1,000,000 ",68201,กิจกกรรมของตัวแทนและนายหน้าอสังหาริมทรัพย์โดยได้รับ ค่าตอมแทนหรือตามสัญญาจ้าง,199/136 หมู่บ้านโนโววิลล์ ติวานนท์-ปทุมธานี หมู่ที่ 1 ซอยธรรมสุธีร์  ต.บางขะแยง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
28,0135559007217,บจ.แอดเวอร์กู๊ดส์ จำกัด,1/4/2559," 1,000,000 ",47612,รับซื้อ และจำหน่ายหมึกพิมพ์ และอุปกรณ์การพิมพ์ทุกชนิด,103/4 ถนนปทุมลาดหลุมแก้ว  ต.บางปรอก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
29,0135559007632,บจ.สมาย เพ็ทส์ กรุ๊ป จำกัด,8/4/2559," 1,000,000 ",75000,ประกอบกิจการโรงพยาบาลสัตว์ รับรักษาสัตว์ รับฝากและดูแลสัตว์เลี้ยง,55/23 หมู่ที่ 7  ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
30,0135559007675,บจ.มาสเตอร์ เชฟ จำกัด,11/4/2559," 1,000,000 ",10799,ประกอบกิจการผลิตและจำหน่ายอาหารสำเร็จรูป,141 หมู่ที่ 2  ต.บ้านกลาง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
31,0135559007721,บจ.รถบ้าน ศรีสมาน จำกัด,11/4/2559," 1,000,000 ",45103,ประกอบกิจการซื้อ ขายรถยนต์มือสอง อะไหล่และอุปกรณ์ตกแต่งรถยนต์,199/99 หมู่ที่ 1 ถนนติวานนท์  ต.บ้านใหม่ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
32,0135559007781,บจ.ริล เรสซิเดนซ์ จำกัด,11/4/2559," 1,000,000 ",68103,ประกอบกิจการให้เช่าที่ดิน อาคาร สิ่งปลูกสร้างพร้อมที่ดินอาคารชุด,99/9 หมู่ที่ 7  ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
33,0135559007811,บจ.สิริสะปัญญา จำกัด,11/4/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างทุกชนิด,85/126 หมู่ที่ 5  ต.บางพูน อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
34,0135559007861,บจ.ลิตเติ้ล เฟรนส์ แครี่ จำกัด,12/4/2559," 1,000,000 ",46206,ขายส่งและขายปลีกอาหาร อาหารเสริม ขนมอุปกรณ์สำหรับสัตว์เลี้ยง,85/116 หมู่ที่ 5  ต.บางพูน อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
35,0135559007888,บจ.เจพีจี พร็อพเพอร์ตี้ จำกัด,18/4/2559," 1,000,000 ",68103,ประกอบกิจการให้เช่าอสังหาริมทรัพย์ เช่น บ้าน แฟลต หรืออาคารชุด รวมถึงบ้านเคลื่อนที่,3 หมู่ที่ 3  ต.บางคูวัด อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
36,0135559007951,บจ.ริช อินทิเกรชั่น เน็ตเวิร์ค จำกัด,19/4/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร ออกแบบ ตกแต่งภายใน ภายนอก และงานก่อสร้างอย่างอื่นทุกชนิด,88/27 หมู่ที่ 3  ต.บางเดื่อ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
37,0135559007969,บจ.โซลคอสเมติกซ์ จำกัด,19/4/2559," 1,000,000 ",46443,ประกอบกิจการนำเข้าและจำหน่ายสินค้าประเภทเครื่องสำอาง,52/219-9 หมู่ที่ 7  ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
38,0135559008001,บจ.โฟทิส168 จำกัด,20/4/2559," 1,000,000 ",70209,กิจกรรมให้คำปรึกษาด้านการบริหารจัดการอื่นๆ กิจกรรมจัดหาทรัพยากรมนุษย์อื่นๆ,71/152 หมู่บ้านปาริชาต หมู่ที่ 6  ต.บางคูวัด อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
39,0135559008043,บจ.มนูญศักดิ์เจริญ จำกัด,21/4/2559," 1,000,000 ",46107,ประกอบกิจการ นำเข้า ส่งออก และจำหน่ายไม้ทุกชนิด,87/1 หมู่ที่ 1  ต.บ้านกระแชง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
40,0135559008108,บจ.พีพี777 เทรดดิ้ง จำกัด,21/4/2559," 1,000,000 ",46695,ประกอบกิจการค้า ซื้อขายของเก่า ประมูลของเก่า,99/326 หมู่บ้านภัสสร 31 (เดอะแพลนท์-ติวานนท์) หมู่ที่ 4  ต.บางกะดี อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
41,0135559008221,บจ.ลิมบิค สเปซ จำกัด,22/4/2559," 1,000,000 ",74101,รับออกแบบ ตกแต่งภายใน อาคารทุกประเภท รับเป็นที่ปรึกษางานก่อสร้างอาคาร,205 หมู่ที่ 7  ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
42,0135559008248,บจ.ศิริ อะลูมินั่ม แอนด์ กลาส จำกัด,25/4/2559," 1,000,000 ",43309,ประกอบกิจการรับจ้างติดตั้งกระจก อลูเนียม ฝ้าเพดาน ตลอดจนจัดหาวัสดุและอุปกรณ์ต่างๆ,55/182 หมู่ที่ 2  ต.บ้านฉาง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
43,0135559008272,บจ.สแตนไลท์ติ้ง จำกัด,25/4/2559," 1,000,000 ",77299,การให้บริการเช่าเครื่องเสียง เช่าระบบไฟ เช่าจอแบบครบวงจร,71/263 หมู่ที่ 4  ต.บางเดื่อ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
44,0135559008361,บจ.เพาเวอร์ แมค โซลูชั่น จำกัด,26/4/2559," 1,000,000 ",46599,ประกอบกิจการนำเข้าส่งออก จำหน่ายปลีกส่ง อุปกรณ์เกี่ยวกับวิศวกรรม,62 หมู่ที่ 1 ซอยวัดดาวเรือง ถนนรังสิต-ปทุมธานี  ต.สวนพริกไทย อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
45,0135559008370,บจ.ซันไชน์ มารีน จำกัด,26/4/2559," 1,000,000 ",82920,ประกอบกิจการให้บริการบรรจุหีบห่อสินค้า จัดหาอุปกรณ์เกี่ยวกับการบรรจุสินค้า,74/29 หมู่ที่ 2  ต.บางขะแยง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
46,0135559008418,บจ.โนวานาโน จำกัด,27/4/2559," 1,000,000 ",20121,ประกอบกิจการผลิตและจำหน่ายปุ๋ยเคมีชนิดน้ำทุกชนิด,118/148 หมู่ที่ 1  ต.บ้านกลาง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
47,0135559008515,บจ.บ้านเศรษฐีโฮม จำกัด,28/4/2559," 1,000,000 ",68101,ประกอบกิจการจำหน่ายบ้านน็อคดาวน์ ทุกชนิดทุกประเภท,96/2 หมู่ที่ 12  ต.บางคูวัด อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
48,0135559008531,บจ.ดีดีอาร์ดีเวลลอปเม้นท์ แอนด์ คอนสตรัคชั่น จำกัด,28/4/2559," 1,000,000 ",41002,รับเหมาถมที่ดินและบริการขนส่งทุกชนิด รับเหมาก่อสร้าง,70/217 ถนนปทุมธานี-สามโคก  ต.บางปรอก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
49,0135559008540,บจ.ดนตรีเพื่อเด็ก จำกัด,28/4/2559," 1,000,000 ",85422,กิจกรรมการสอนด้านดนตรี,99/330 หมู่ที่ 2  ต.บางหลวง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
50,0135559008566,บจ.ซีซันส์ เวิลด์ จำกัด,29/4/2559," 1,000,000 ",82990,ประกอบกิจการประมูลเพื่อรับจ้างทำของ ตามวัตถุประสงค์ทั้งหมดให้แก่บุคคล คณะบุคคล นิติบุคคล ส่วนราชการ,88/25 หมู่บ้านสราญสิริ ติวานนท์-แจ้งวัฒนะ 2 หมู่ที่ 3  ต.บ้านใหม่ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
51,0135559008574,บจ.ลักษ์มี  มาตา อินเตอร์เนชั่นแนล จำกัด,29/4/2559," 1,000,000 ",46443,ประกอบธุรกิจเกี่ยวกับค้าเครื่องสำอาง ผลิตภัณฑ์ความงาม อุปกรณ์และเครื่องมือใช้เสริมความงาม,149/42 หมู่ที่ 1 ซอยบ้านกลาง2/5  ต.บ้านกลาง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
52,0135559008621,บจ.เอ็น อาร์ สแคว จำกัด,29/4/2559," 1,000,000 ",96101,บริการด้านความงาม สปา,9/39 หมู่ที่ 4 ถนนกรุงเทพฯ-ปทุมธานี  ต.บางหลวง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
53,0135559008639,บจ.เมกา คาร์เร้นท์ จำกัด,29/4/2559," 1,000,000 ",45101,ประกอบกิจการซื้อขาย เช่าซื้อ ขายฝากรถยนต์ รถจักรยานยนต์,59/3 หมู่ที่ 4  ต.บ้านใหม่ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
54,0135559008647,บจ.ดี. เอ็น. เซ็นเตอร์ 2016 จำกัด,29/4/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน เขื่อน,90/5 หมู่ที่ 3  ต.บางพูน อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,
55,0135559007179,บจ.ร่วมมิตร ฟู้ด จำกัด,1/4/2559," 1,000,000 ",46102,ประกอบกิจการสินค้าแปรรูปจากเนื้อสัตว์ทุกประเภท รวมถึงนำเข้า ส่งออกสินค้าแปรรูปจากเนื้อสัตว์,38/63 หมู่ที่ 1  ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี 12110,,
56,0135559007195,บจ.อินธีเรี่ยล จำกัด,1/4/2559," 1,000,000 ",46109,การขายส่งสินค้าทั่วไป โดยได้รับค่าตอบแทน หรือตามสัญญาจ้าง,125/430 หมู่ที่ 3  ต.บึงสนั่น อ.ธัญบุรี จ.ปทุมธานี 12110,,
57,0135559007772,บจ.พี.วี.เอ็นจิเนียริ่ง เอ็ม แอนด์ อี จำกัด,11/4/2559," 1,000,000 ",46599,ประกอบกิจการจำหน่ายและให้บริการ ติดตั้ง ซ่อมบำรุง ด้านระบบไฟฟ้า เครื่องปรับอากาศ เครื่องทำความเย็น,38/46 หมู่ที่ 1  ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี 12110,,
58,0135559008582,บจ.เอสเค คอนชัลแตนท์ แอนด์ โฮลดิ้ง จำกัด,29/4/2559," 1,000,000 ",27909,ผลิตประกอบชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้า,31/46 หมู่ที่ 1  ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี 12110,,
59,0133559001764,หจ.ซี.เค. ณัฐชนน ทรานสปอร์ต,7/4/2559," 1,000,000 ",49323,ขนส่งขนถ่ายสินค้า รวมทั้งคนโดยสารทั้งทางบกทางน้ำ ทางอากาศ ภายในและภายนอกประเทศ,36/40 หมู่ที่ 14  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
60,0133559001942,หจ.ประภาสิริ มัลติ ซัพพลาย,25/4/2559," 1,000,000 ",46599,ประกอบกิจการค้าอุปกรณ์ดับเพลิง ไฟฉุกเฉิน,42/237 หมู่บ้านพฤกษา 23 หมู่ที่ 4  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
61,0133559001985,หจ.ไอ คลีนแอนด์เซฟ โปรดักส์ ซัพพลาย,26/4/2559," 1,000,000 ",46691,ประกอบกิจการซื้อสินค้าและขายต่อวัสดุสิ้นเปลืองโรงงานและผลิตหรือซ่อมแซมเครื่องแต่งกายพนักงาน,2/389 หมู่ที่ 2  ต.คลองสี่ อ.คลองหลวง จ.ปทุมธานี 12120,,
62,0133559001993,หจ.ซี.ที.เซอร์วิส ซัพพลาย,26/4/2559," 1,000,000 ",43299,ประกอบกิจการ ดูแลบริการ รับติดตั้ง ลิฟท์-บันไดเลื่อน,37/1970 หมู่ที่ 4  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
63,0133559002078,หจ.โฟล์คคลองหก,29/4/2559," 1,000,000 ",42101,การก่อสร้างถนนและทางรถไฟ หมู่ย่อยนี้รวมถึงการก่อสร้างทางพิเศษ ถนนหลัก ถนน ซอย ทางเดินรถและทางเท้า,20/1 หมู่ที่ 11  ต.คลองหก อ.คลองหลวง จ.ปทุมธานี 12120,,
64,0135559007152,บจ.นวธัญ ฟรุ๊ต เซ็นเตอร์ จำกัด,1/4/2559," 1,000,000 ",49329,ประกอบกิจการขนส่งและขนถ่ายสินค้าและคนโดยสารทั้งทางบกทางน้ำทางอากาศ,99/24 หมู่ที่ 9  ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,,
65,0135559007161,บจ.ทีเค อินเตอร์ บุ๊ค จำกัด,1/4/2559," 1,000,000 ",46431,ประกอบกิจการขายส่งหนังสือ หนังสือพิมพ์และเครื่องเขียน,35/397 หมู่บ้านอินนิซิโอ หมู่ที่ 1  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
66,0135559007187,บจ.ลุฟท์ ไวส์เสน อินเตอร์เนชั่นแนล จำกัด,1/4/2559," 1,000,000 ",43223,ประกอบกิจการให้บริการด้านระบบปรับอากาศ ระบบควบคุมความชื้น ดูดความชื้น ระบบระบายอากาศ,59/888 หมู่ที่ 7  ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,,
67,0135559007250,บจ.ยู ฟลอร์ เอเซีย จำกัด,4/4/2559," 1,000,000 ",46639,ประกอบกิจการค้า วัสดุก่อสร้าง เคมีก่อสร้าง อุปกรณ์เครื่องมือและเครื่องใช้ในการก่อสร้าง,35/172 หมู่ที่ 3  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
68,0135559007381,บจ.เอ็ม.ยู.ไอ พลาสติก โปรดักส์ จำกัด,5/4/2559," 1,000,000 ",20131,ประกอบกิจการโรงงานผลิต เม็ดพลาสติก และผลิตภัณฑ์พลาสติกสำเร็จรูป,1239 หมู่ที่ 13  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
69,0135559007390,บจ.เจเอ็ม-เทค เวนติเลชั่น จำกัด,5/4/2559," 1,000,000 ",33200,การติดตั้งเครื่องจักรอุตสาหกรรมและอุปกรณ์,2/921 หมู่บ้านศุภาลัยบุรี หมู่ที่ 1 ซอยหมู่บ้านศุภาลัยบุรี ถนนเลียบคลองสี่  ต.คลองสี่ อ.คลองหลวง จ.ปทุมธานี 12120,,
70,0135559007420,บจ.ไกรสร  แมชชีนเนอร์รี่ จำกัด,5/4/2559," 1,000,000 ",46105,นำเข้าและส่งออกเครื่องจักร เครื่องฉีดพลาสติก เครื่องบดพลาสติก เครื่องหลอมพลาสติก,47/4 หมู่ที่ 13  ต.คลองหก อ.คลองหลวง จ.ปทุมธานี 12120,,
71,0135559007462,บจ.สัมฤทธิ์ เซอร์วิส แอนด์ ซัพพลาย จำกัด,7/4/2559," 1,000,000 ",24109,ประกอบกิจการรับจ้างทำงานและผลิตชิ้นส่วน-ชิ้นงาน เหล็ก แสตนเลส อลูมิเนียม บอม,26/209 หมู่ที่ 18  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
72,0135559007578,บจ.เอส.พี.อาร์.  เบทเทอเวย์ จำกัด,7/4/2559," 1,000,000 ",82990,ประกอบกิจการประมูลเพื่อขายสินค้า รับจ้างทำของ ตามวัตถุที่ประสงค์ทั้งหมด ให้แก่บุคคล คณะบุคคล,101/113 หมู่ที่ 7  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
73,0135559007594,บจ.ธนะ กรีนแลนด์ จำกัด,7/4/2559," 1,000,000 ",68101,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเอง เพื่อการพักอาศัย,99 หมู่ที่ 1  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
74,0135559007616,บจ.สายศุภมาศ จำกัด,8/4/2559," 1,000,000 ",16230,ประกอบกิจการออกแบบและผลิตลังไม้ พาเลทไม้ เฟอร์นิเจอร์จากไม้และโลหะ,88/48 หมู่ที่ 9  ต.คลองห้า อ.คลองหลวง จ.ปทุมธานี 12120,,
75,0135559007667,บจ.บุญนำมีทรัพย์ จำกัด,8/4/2559," 1,000,000 ",46443,จำหน่ายเครื่องสำอาง ผลิตภัณฑ์เสริมความงาม และอุปกรณ์ที่เกี่ยวข้อง สบู่ ยาสีฟัน,102/20-23 หมู่ที่ 13  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
76,0135559007691,บจ.เอ็นทีโฟร์คลิฟท์เซอร์วิส จำกัด,11/4/2559," 1,000,000 ",45101,ประกอบกิจการจำหน่ายซ่อมแซม และบำรุงรักษายานพาหนะ และอุปกรณ์ขนส่ง,37/5 หมู่ที่ 14 ถนนพหลโยธิน  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
77,0135559007713,บจ.พีพีพี เจแปน รีไซเคิล จำกัด,11/4/2559," 1,000,000 ",46109,ประกอบกิจการนำเข้าสินค้ามือสอง ได้แก่ เครื่องเรือน เฟอร์นิเจอร์เครื่องแก้ว เครื่องครัวเครื่องนุ่งห่ม,26/254-255 หมู่ที่ 18 ถนนพหลโยธิน  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
78,0135559007853,บจ.พุดสามสี จำกัด,12/4/2559," 1,000,000 ",68101,ประกอบกิจการค้าอสังหาริมทรัพย์ จัดสรรที่ดิน บ้าน คอนโด อาคารชุด และสิ่งปลูกสร้างเพื่อจำหน่าย,45/152 หมู่ที่ 14  ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,,
79,0135559008116,บจ.เบสท์ แอนด์ สตรอง จำกัด,21/4/2559," 1,000,000 ",56101,ประกอบกิจการผลิตและจำหน่ายอาหารเครื่องดื่ม,37/3 หมู่ที่ 11  ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,,
80,0135559008132,บจ.นวนคร ดีเวลลอปเม้นท์ จำกัด,21/4/2559," 1,000,000 ",68101,ซื้อ จัดหา รับ เช่าซื้อ ถือกรรมสิทธิ์ ครองครอง พัฒนา ให้เช่า อสังหาริมทรัพย์,98/195 ห้องเลขที่ 109 หมู่ที่ 13  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
81,0135559008213,บจ.ธรีทรีซีซั่นส์ จำกัด,22/4/2559," 1,000,000 ",71101,ประกอบกิจการกิจกรรมงานสถาปัตยกรรมและวิศวกรรมและการให้คำปรึกษา,43/208 หมู่บ้านพฤกษา ซี หมู่ที่ 4  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
82,0135559008281,บจ.เสมอ 2016 คอนสตรัคชั่น จำกัด,25/4/2559," 1,000,000 ",41002,ประกอบกิจการ รับเหมาก่อสร้าง,40/1974 หมู่ที่ 4  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
83,0135559008302,บจ.พี.ซี.เอส.เอ็นจิเนียริ่ง แอนด์ พาร์ท จำกัด,25/4/2559," 1,000,000 ",25922,ให้บริการขึ้นรูปโลหะแผ่น เชื่อม ประกอบ กลึง กัด ไส เจียร งานตามแบบทุกชนิด,49/182 หมู่ที่ 7  ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,,
84,0135559008337,บจ.พีที เพอร์ฟอร์แมนซ์ จำกัด,25/4/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง ซ่อมแซมส่วนของระบบกันน้ำซึมภายในโรงงาน โรงแรม อาคารบ้านเรือน,89/20 หมู่ที่ 6  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
85,0135559008353,บจ.มิวไอเซต จำกัด,26/4/2559," 1,000,000 ",70209,รับเป็นที่ปรึกษา ออกแบบ และวางแผนกลยุทธิ์ทางการตลาด เป็นผู้คิดค้น ผลิต และจัดจำหน่ายผลิตภัณฑ์นวัตกรร,121 อาคารGarden of Innovation ห้องเลขที่ GOI-13-14 ชั้นที่1 หมู่ที่ 9 ถนนพหลโยธิน  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
86,0135559008426,บจ.โมโนบล็อค จำกัด,27/4/2559," 1,000,000 ",45302,จำหน่ายอุปกรณ์และอะไหล่ของรถยนต์,40/1576 หมู่ที่ 4  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
87,0135559008434,บจ.เอ็มเอสอาร์ เคมีคอล (ประเทศไทย) จำกัด,27/4/2559," 1,000,000 ",46691,ประกอบกิจการจำหน่ายน้ำยาเคมีภัณฑ์ ทุกชนิด,29/500 หมู่ที่ 2  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
88,0135559008451,บจ.กิตติกร อิมพอร์ต จำกัด,27/4/2559," 1,000,000 ",78200,ประกอบกิจการ รับจ้างเหมาแรงงานให้บริการเข้าทำงานตามการงานที่ว่าจ้างทั้งของภาครัฐและเอกชน,89/131 หมู่ที่ 9  ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,,
89,0135559008493,บจ.แอล.เอส.แอร์ ไปป์ปิ้ง แอนด์ เซอร์วิส จำกัด,28/4/2559," 1,000,000 ",43210,ประกอบกิจการรับเหมาติดตั้งระบบปรับอากาศ ระบบท่อน้ำ ระบบไฟฟ้า ระบบประปา,40/1158 หมู่บ้านพฤกษา บี หมู่ที่ 4  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
90,0135559008523,บจ.ฟู้ด ซิตี้ จำกัด,28/4/2559," 1,000,000 ",10799,ประกอบกิจการผลิตและจำหน่ายอาหารสำเร็จรูป อาหารปรุงสำเร็จต่างๆ ที่ทำจากเนื้อสัตว์,59 หมู่ที่ 11  ต.คลองห้า อ.คลองหลวง จ.ปทุมธานี 12120,,
91,0135559008558,บจ.เจ.ทูลส์ แอนด์ ซัพพลาย จำกัด,29/4/2559," 1,000,000 ",46593,ประกอบกิจการค้าวัสดุอุปกรณ์ เครื่องมือเครื่อใช้ ทางด้านอุตสาหกรรม,22/88 หมู่ที่ 13  ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,,
92,0133559001730,หจ.บีเอสพี บียอนด์เซอร์วิสเพอร์ฟอร์แมนส์เทรนนิ่ง,1/4/2559," 1,000,000 ",82301,บริการจัดฝึกอบรม และกิจกรรม โดยเน้นด้านงานบริการลูกค้า ลูกค้าสัมพันธ์ เพื่อพัฒนาศักยภาพองคกร,92/294 หมู่ที่ 3 ซอย48  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130,,
93,0133559001888,หจ.134 ดีเวลลอปเม้นท์,21/4/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,1/123 ซอยพหลโยธิน 89 ถนนวิภาวดีรังสิต  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,,
94,0133559001926,หจ.ซิงค์ เน็ตเวิร์ค คอมมิวนิเคชั่น,25/4/2559," 1,000,000 ",62090,การรับออกแบบและติดระบบเวปไซด์ต่างๆระบบเน็ตเวิร์ค สื่อมัลติมีเดีย กราฟดีไซด์,59/4 หมู่บ้านไพรเวทโฮม ซอยรังสิต-นครนายก 27 ซอย 1 ถนนรังสิต-นครนายก  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,,
95,0133559001951,หจ.สตาร์คอัพ คอนสตรัคชั่น,25/4/2559," 1,000,000 ",74101,ให้บริการรับออกแบบและตกแต่งภายในอาคารสำนักงานและที่พักอาศัย,969/8 ถนนรังสิต-นครนายก  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,,
96,0133559002035,หจ.ดวงเจริญ ทรัพย์เพิ่มพูน,27/4/2559," 1,000,000 ",82301,ประกอบกิจการรับจัดฝึกอบรมพนักงานขาย,909/182 ถนนรังสิต-นครนายก  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,,
97,0135559007268,บจ.พีบี เทค คอนสตรัคชั่น จำกัด,4/4/2559," 1,000,000 ",46639,ประกอบกิจการค้า วัสดุก่อสร้าง อุปกรณ์และเครื่องมือใช้ในการก่อสร้างทุกชนิด,50/598 หมู่ที่ 2  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130,,
98,0135559007331,บจ.ฉัตรทอง สุริยา จำกัด,5/4/2559," 1,000,000 ",47219,ประกอบกิจการซื้อมาขายไปอาหารเสริมทุกชนิด,2/3 หมู่ที่ 6  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,,
99,0135559007349,บจ.วิคโก้ อินเตอร์เทรด จำกัด,5/4/2559," 1,000,000 ",46109,ประกอบกิจการ การค้าระหว่างประเทศ,22 ซอยพหลโยธิน 87 ซอย 8  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,,
100,0135559007357,บจ.เอสที ดาต้าเน็ตเวอร์ค จำกัด,5/4/2559," 1,000,000 ",43210,ประกอบกิจการออกแบบ ติดตั้ง ซ่อมบำรุง งานระบบไฟฟ้า ระบบสื่อสารข้อมูลและอุปกรณ์คอมพิวเตอร์ต่างๆ,72/229 หมู่ที่ 6  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,,
101,0135559007365,บจ.ยูนิวิว เทคโนโลยี จำกัด,5/4/2559," 1,000,000 ",47413,ร้านขายปลีกอุปกรณ์การสื่อสารโทรคมนาคม,99 อาคารศูนย์การค้าเซียร์รังสิต ห้องเลขที่ 033 ชั้นที่ 3 หมู่ที่ 8 ถนนพหลโยธิน  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,,
102,0135559007446,บจ.โปรสไมส์ เดนตัล คลินิค จำกัด,7/4/2559," 1,000,000 ",86203,กิจกรรมต่างๆทางด้านทันตกรรมของทันตแพทย์พื้นฐานและทันตแพทย์เฉพาะทาง,1/198 หมู่ที่ 11  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,,
103,0135559007454,บจ.ซี เมดิคอล จำกัด,7/4/2559," 1,000,000 ",46441,ประกอบกิจการซื้อขาย เป็นตัวแทนจำหน่าย เครื่องมือแพทย์ อาหารเสริมทั้งในและต่างประเทศ,264/1 ซอยรังสิต-ปทุมธานี 8  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,,
