นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
205,0125559006962,บจ.ข้าวดีชัวร์ จำกัด,9/3/2559," 1,000,000 ",46201,นำเข้า ส่งออกและจำหน่ายข้าวเปลือก ข้าวสาร และสินค้าเกษตรทุกชนิด,120/156 หมู่ที่ 5 ถนนติวานนท์  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
206,0125559006997,บจ.เชฟ คลิ้นท์ จำกัด,9/3/2559," 1,000,000 ",56101,ประกอบกิจการภัตตาคาร,28/127-128 หมู่ที่ 4  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
207,0125559007128,บจ.เทรนส์ อินโนเวชั่น เอนเทอร์ไพรส์ จำกัด,10/3/2559," 1,000,000 ",46443,จำหน่ายผลิตภัณฑ์ความงามและสุขภาพ,41/143 ซอยสี่ไชยทอง 27 ถนนแจ้งวัฒนะ-ปากเกร็ด  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
208,0125559007144,บจ.วี.อัศกุล จำกัด,10/3/2559," 1,000,000 ",32909,ประกอบกิจการผลิตและจำหน่ายวัตถุมงคล,8/172 หมู่ที่ 3  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
209,0125559007161,บจ.เอชแอนด์ดับบลิว อินเตอร์เนชั่นแนล กรุ๊ป จำกัด,10/3/2559," 1,000,000 ",20232,ผลิต จำหน่าย นำเข้า ส่งออก สินค้าเกี่ยวกับ สุขภาพ ความงาม แฟชั่น,55/288 หมู่ที่ 9  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
210,0125559007179,บจ.ดีแอนด์พี แอดแวนซ์ เซอร์วิซ แอนด์ โซลูชั่นส์ จำกัด,10/3/2559," 1,000,000 ",46599,จำหน่าย ผลิต ติดตั้ง เครื่องสูบน้ำ เครื่องบำบัดน้ำเสีย เครื่องจักร เครื่องมือกล,21/2 หมู่ที่ 10  ต.คลองข่อย อ.ปากเกร็ด จ.นนทบุรี 11120
211,0125559007233,บจ.พาราดิโซ สตูดิโอ จำกัด,10/3/2559," 1,000,000 ",73101,ประกอบกิจการเพื่อผลิตสื่อทั้งภาพเคลื่อนไหว ภาพนิ่งกราฟฟิก,92/47 หมู่บ้านอารียา โครงการเดอะวิลเลจ ซอย5 ถนนติวานนท์  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
212,0125559007292,บจ.อินเตอร์เนชั่นแนล เบเวอร์เรจ จำกัด,10/3/2559," 1,000,000 ",46102,นำเข้า ส่งออก ค้าส่ง ผลิตภัณฑ์อาหาร เครื่องดื่ม สุรา เบียร์ วอดกา ยิน สุราผลไม้ ลิเคียวร์ วิสกี้ ค๊อ,39/216 หมู่บ้านนิชดาธานี หมู่ที่ 3  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
213,0125559007489,บจ.ทักษะ กรุพ จำกัด,14/3/2559," 1,000,000 ",62090,ประกอบกิจการใช้เทคโนโลยีเพื่อที่จะส่งเสริมให้ลูกค้ากลุ่มเป้าหมายทุกคนสามารถเข้าถึงการเรียนรู้ทักษะ,89/105 หมู่บ้านวิสต้า ปาร์ค แจ้งวัฒนะ หมู่ที่ 3  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
214,0125559007501,บจ.บีแอททิทิวด์ จำกัด,14/3/2559," 1,000,000 ",46443,ประกอบกิจการ นำเข้าและจัดจำหน่าย ขายส่ง ขายปลีก สินค้าประเภทความงามและเครื่องสำอางทุกชนิด,50/875 หมู่ที่ 6  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
215,0125559007594,บจ.เอนจิไน้ซ์ จำกัด,15/3/2559," 1,000,000 ",41002,รับออกแบบ ก่อสร้าง ปรับปรุงอาคารทุกประเภทได้แก่งานโครงสร้างสถาปัตยกรรม ตกแต่งภายใน,19/224 หมู่ที่ 2  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
216,0125559007624,บจ.ช วรภัทร จำกัด,15/3/2559," 1,000,000 ",68104,ประกอบกิจการการเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่น,99/112 หมู่บ้านลัดดารมย์ หมู่ที่ 1  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
217,0125559007632,บจ.ฮาแกน จำกัด,15/3/2559," 1,000,000 ",74109,ประกอบกิจการออกแบบงานสถาปัตย์โครงสร้างงานตกแต่ง,53/89 หมู่ที่ 3  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
218,0125559007641,บจ.เจ เอส ซี แฟมิลี่ เน็ตเวิร์ค จำกัด,15/3/2559," 1,000,000 ",43210,ให้บริการติดตั้งซ่อมแซมบำรุงรักษา เครือข่ายสื่อสาร อุปกรณ์สื่อสาร อุปกรณ์โทรคมนาคมทุกชนิด,69/105 หมู่ที่ 2  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
219,0125559007683,บจ.บีบีเอชเอ็น จำกัด,15/3/2559," 1,000,000 ",56101,ประกอบกิจการร้านอาหาร รวมทั้งเครื่องดื่ม,5/1306 หมู่ที่ 10  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
220,0125559007713,บจ.ส.สหร่มเย็น๑ จำกัด,16/3/2559," 1,000,000 ",46411,ประกอบกิจการค้า ผ้าทอ ด้าย เส้นใย เครื่องนุ่งห่ม เครื่องแต่งกาย เครื่องประดับกาย อื่นๆ,20/11 หมู่ที่ 9  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
221,0125559007781,บจ.ซัมเกียร์ เอ็นจิเนียริ่ง จำกัด,16/3/2559," 1,000,000 ",61900,ประกอบกิจการงานด้านโทรคมนาคมสื่อสาร,63 หมู่ที่ 5  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
222,0125559007799,บจ.เอสเค โอ แอนด์ เอ็ม จำกัด,16/3/2559," 1,000,000 ",68103,ประกอบกิจการให้เช่าห้องพักรายวัน,89/205 หมู่ที่ 5  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
223,0125559007802,บจ.ทีเอช โอ แอนด์ เอ็ม จำกัด,16/3/2559," 1,000,000 ",68103,ประกอบกิจการให้เช่าห้องพักรายวัน รายดือน,89/205 หมู่ที่ 5  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
224,0125559007811,บจ.โซล่าร์ เพาเวอร์ อินโนเวชั่น จำกัด,17/3/2559," 1,000,000 ",35101,ประกอบกิจการดำเนินการผลิตกระแสไฟฟ้าจากพลังงานแสงอาทิตย์และพลังงานทดแทน,101/105 หมู่ที่ 3  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
225,0125559007837,บจ.27อาลาดิน จำกัด,17/3/2559," 1,000,000 ",71102,ประกอบกิจการทางวิศวกรรม ให้คำปรึกษา วางแผน ออกแบบ บริหารและควบคุมกิจกรรมต่างๆทุกชนิด,88/72 หมู่ที่ 6  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
226,0125559007853,บจ.ไอพลัส สตัดดี้ เซ็นเตอร์ จำกัด,17/3/2559," 1,000,000 ",96309,ประกอบกิจการบริการให้คำปรึกษาและจัดการด้านเอกสารแก่บุคคลที่จะไปศึกษาต่อยังต่างประเทศ,183/148 หมู่ที่ 7  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
227,0125559007861,บจ.สมิทธ์ กรุ๊ป จำกัด,18/3/2559," 1,000,000 ",47411,การขายปลีกคอมพิวเตอร์อุปกรณ์และเครื่องเสียงรวมทั้งอุปกรณ์สื่อสารโทรคมนาคมทุกชนิด,19/207 หมู่ที่ 2  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
228,0125559007926,บจ.ทีพี เฮลท์แอนด์บิวตี้โปรดัก จำกัด,18/3/2559," 1,000,000 ",20232,ผลิตและจำหน่าย สินค้าเพื่อสุขภาพและความงาม,98/221 หมู่ที่ 1  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
229,0125559007951,บจ.พีเอ็นเอ็น เทค จำกัด,18/3/2559," 1,000,000 ",46521,ประกอบกิจการจำหน่าย และให้บริการติดตั้งอุปกณ์ไฟฟ้า,43/234 หมู่ที่ 8  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
230,0125559007969,บจ.บลูม จำกัด,18/3/2559," 1,000,000 ",46441,การขายส่งสินค้าทางเภสัชภัณฑ์และทางการแพทย์เครื่องหอมและเครื่องสำอาง,86/283 หมู่บ้านสราญสิริ ราชพฤกษ์-แจ้งวัฒนะ หมู่ที่ 2 ถนนราชพฤกษ์  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
231,0125559008027,บจ.ฟาสท์เทค อินโนเวชั่น จำกัด,18/3/2559," 1,000,000 ",46599,ประกอบกิจการซื้อ ขาย นำเข้า ส่งออก เพื่อผลิตเครื่องมือ เครื่องจักร,93/141 หมู่ที่ 1  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
232,0125559008124,บจ.พีพีเอ รีไซเคิล จำกัด,21/3/2559," 1,000,000 ",46694,ประกอบกิจการค้า ขวดแก้ว หรือสิ่งอื่นซึ่งมีลักษณะคล้ายคลึงกันทั้งที่อยู่ในสภาพวัตถุดิบหรือสำเร็จรูป,99/135 หมู่ที่ 5  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
233,0125559008205,บจ.พุทรักษา จำกัด,21/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์,43/45 หมู่ที่ 8  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
234,0125559008302,บจ.วัน ทีดี จำกัด,22/3/2559," 1,000,000 ",43210,ประกอบกิจการรับเหมา รับบริหาร รับเป็นที่ปรึกษา รับซ่อม ระบบไฟฟ้า ไฟอลามทุกประเภท,49/1014 หมู่ที่ 2  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
235,0125559008345,บจ.นาริน เฟอร์นิเจอร์ จำกัด,22/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง ตกแต่งภายใน อาคาร ที่ดิน ที่พักอาศัย และงานก่อสร้าง,5 หมู่ที่ 4  ต.คลองข่อย อ.ปากเกร็ด จ.นนทบุรี 11120
236,0125559008361,บจ.เจ็ท วอช จำกัด,22/3/2559," 1,000,000 ",81299,ให้บริการทำความสะอาดทั้งภายนอกและภายในอากาศยาน,111/41 หมู่ที่ 6  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
237,0125559008388,บจ.นูซันตารา แอสเซท โซลูชั่น (ประเทศไทย) จำกัด,22/3/2559," 1,000,000 ",70209,ประกอบกิจการให้บริการเป็นที่ปรึกษาเกี่ยวกับการตลาดทุกประเภท,202/111 หมู่ที่ 5  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
238,0125559008418,บจ.เจเอ คลีนนิ่ง จำกัด,23/3/2559," 1,000,000 ",81100,ประกอบกิจการจัดส่งพนักงานบริษัท,90/1123 หมู่ที่ 5 ถนนรัตนาธิเบศร์  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
239,0125559008434,บจ.นูซันตารา (ประเทศไทย) จำกัด,23/3/2559," 1,000,000 ",41002,ประกอบกิจการ ให้บริการเป็นที่ปรึกษา บริหารโครงการ งานรับเหมาก่อสร้าง งานนำเข้า ส่งออก,202/111 หมู่ที่ 5  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
240,0125559008523,บจ.พลัสนิวเอ็นจิเนียริ่ง จำกัด,23/3/2559," 1,000,000 ",46639,จำหน่ายวัสดุก่อสร้าง อุปกรณ์และเครื่องมือเครื่องใช้ในการก่อสร้าง,90/296 หมู่บ้านเดอะวิลล่า หมู่ที่ 5  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
241,0125559008591,บจ.ไวส์ คอมพาเนี่ยน จำกัด,24/3/2559," 1,000,000 ",79909,จัดหาบัตรโดยสาร,103/49 หมู่ที่ 1  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
242,0125559008698,บจ.มี แมเนจเม้นท์ แอนด์ เซอร์วิส จำกัด,24/3/2559," 1,000,000 ",68202,รับบริหารจัดการที่พักอาศัย,50/55 หมู่ที่ 4  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
243,0125559008701,บจ.รักษาความปลอดภัย มี การ์ด เซอร์วิส จำกัด,24/3/2559," 1,000,000 ",80100,ประกอบกิจการให้บริการรักษาความปลอดภัย,50/55 หมู่ที่ 4  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
244,0125559008787,บจ.เฟ็นเท็ค เวิลด์ จำกัด,24/3/2559," 1,000,000 ",35101,ผลิต จำหน่ายกระแสไฟฟ้าที่ผลิตได้จากพลังงานทดแทนที่ได้จากธรรมชาติ,32/76 หมู่ที่ 1  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
245,0125559008841,บจ.นิกัน เบเกอร์โปร จำกัด,25/3/2559," 1,000,000 ",10711,ประกอบกิจการผลิต นำเข้า-ส่ง อุปกรณ์ตกแต่ง หน้าขนมเค้ก ขนมขบเคี้ยว,288/34 หมู่บ้านธาราดี บิช ทาวน์ หมู่ที่ 5  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
246,0125559008868,บจ.เอมพันธ์ มาร์เก็ตติ้ง จำกัด,25/3/2559," 1,000,000 ",47611,การขายปลีกหนังสือพิมพ์,67/20 หมู่ที่ 1  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
247,0125559008965,บจ.ตั้งเตรียมเฮง จำกัด,28/3/2559," 1,000,000 ",82302,รับจ้างและรับบริการจัดทำงานอีเว้นท์ งานบันเทิง,43/146 หมู่ที่ 8  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
248,0125559008973,บจ.แสงทรัพย์ ไพศาล จำกัด,28/3/2559," 1,000,000 ",43120,ประกอบกิจการให้บริการรับจ้าง ขน ตัก ขุด เจาะ ดูด ถ่านเท เคลื่อนย้าย ดิน หิน ทราย,301/25 หมู่ที่ 3  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
249,0125559009023,บจ.รักษาความปลอดภัย วัน อินทีกรัล พร็อพเพอร์ตี้ เซอร์วิส จำกัด,28/3/2559," 1,000,000 ",80100,ประกอบกิ้จการเกี่ยวกับการบริการรักษาความปลอดภัย ให้แก่บุคคล นิติบุคคล หมู่บ้าน อาคารสถานที่ หน่วยงาน,59/318 หมู่ที่ 3  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
250,0125559009031,บจ.เมืองทองเอสเตท จำกัด,29/3/2559," 1,000,000 ",68102,ประกอบกิจการ ซื้อ ขาย ให้เช่า อสังหาริมทรัพย์ทุกประเภท,88/316 หมู่ที่ 5  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
251,0125559009040,บจ.ต.โลหะกิจ ท่าอิฐ จำกัด,29/3/2559," 1,000,000 ",24201,ประกอบกิจการ การผลิตโลหะมีค่า,104/4 หมู่ที่ 8  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
252,0125559009180,บจ.ฟรายเดย์ คอนสตรัคชั่น แอนด์ ซัพพลาย จำกัด,30/3/2559," 1,000,000 ",47524,ประกอบกิจการค้าวัสดุก่อสร้าง,7/79 หมู่ที่ 2  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
253,0125559009198,บจ.เอสเค มะลิวรรณ จำกัด,30/3/2559," 1,000,000 ",20232,ประกอบกิจการผลิตและจำหน่าย เป็นตัวแทนจำหน่ายเครื่องสำอาง,5/126 หมู่ที่ 9 ซอย3 ประชานิเวศน์ 2 ระยะ 3  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
254,0125559009228,บจ.อินเม็ค เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,30/3/2559," 1,000,000 ",28199,ประกอบกิจการ ออกแบบและผลิต ชิ้นส่วนเครื่องจักร เครื่องมือ และอุปกรณ์ทางวิศวกรรม,54/205 หมู่ที่ 5 ถนนราชพฤกษ์  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
255,0125559009325,บจ.บี อี เอส การโยธา 1998 จำกัด,31/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์,69/18 หมู่ที่ 2  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
256,0125559009333,บจ.มอร์แดนอีวี จำกัด,31/3/2559," 1,000,000 ",45301,จัดจำหน่าย ได้แก่ อุปกรณ์เครื่องชาร์ตไฟฟ้ารถยนต์ทุกประเภท และอุปกรณ์อื่นๆ สำหรับรถยนต์ไฟฟ้า,105/20 หมู่ที่ 9 ถนนติวานนท์  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
257,0123559001314,หจ.เดอะ คลาวด์ แอนด์ เดอะ กราวด์,10/3/2559," 1,000,000 ",47511,ประกอบกิจการซื้อ ขายผ้าทุกชนิด,56/167 หมู่ที่ 5  ต.ปลายบาง อ.บางกรวย จ.นนทบุรี 11130
258,0105559044015,บจ.พีเอ็มพีเอส เทรดดิ้ง จำกัด,14/3/2559," 1,000,000 ",77309,ประกอบกิจการให้เช่า หรือให้บริการเครื่องจักร อุตสาหกรรม,89/413 หมู่บ้านศุภาลัยการ์เด้นท์วิลล์ หมู่ที่ 1  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
259,0125559006261,บจ.ริสค์เซอร์เวย์ (ประเทศไทย) จำกัด,2/3/2559," 1,000,000 ",66210,การประเมินความเสี่ยงภัย,79/2 หมู่บ้านศุภาลัยวิลล์ หมู่ที่ 3 ซอย2  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
260,0125559006334,บจ.อีดียู วิสดอม คริสตัล จำกัด,2/3/2559," 1,000,000 ",85493,กิจกรรมการกวดวิชาทั้วไป (เมื่อได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้อง),555/9 หมู่ที่ 1 ศูนย์การค้าเดอะคริสตัล ราชพฤกษ์ อาคารเอ ชั้นที่ 3 ห้องเลขที่ 311 ถนนราชพฤกษ์  ต.บางขนุน อ.บางกรวย จ.นนทบุรี 11130
261,0125559006385,บจ.ธนกรเจริญไพศาล จำกัด,3/3/2559," 1,000,000 ",43210,ประกอบกิจการก่อสร้างงานติดตั้งสาธารณูปโภคประเภทต่างๆ เช่นการติดตั้งระบบปรับอากาศระบบท่อลม,88/159 หมู่ที่ 8  ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130
262,0125559006598,บจ.ดี เอ็น.เอ.ซัพพลาย จำกัด,4/3/2559," 1,000,000 ",46900,ขายส่งสินค้าทั่วไป,129/446 หมู่ที่ 7  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
263,0125559006784,บจ.บีวายจี จำกัด,7/3/2559," 1,000,000 ",46443,นำเข้า ผลิต จำหน่าย อุปกรณ์สปา เครื่องสำอาง อาหารเสริมทุกชนิด และสมุนไพร-แผนโบราณ ทุกชนิด,199/83 หมู่ที่ 3  ต.บางขนุน อ.บางกรวย จ.นนทบุรี 11130
264,0125559006814,บจ.เวิร์คโมชัน ครีเอทีฟ จำกัด,7/3/2559," 1,000,000 ",74109,กิจกรรมการออกแบบเฉพาะด้านอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,33/1 หมู่ที่ 3  ต.บางคูเวียง อ.บางกรวย จ.นนทบุรี 11130
265,0125559006865,บจ.เอชเอ็นเค เน็ตเวิร์คส์ จำกัด,8/3/2559," 1,000,000 ",62012,ประกอบกิจการออกแบบและพัฒนาซอฟต์แวร์ โปรแกรมคอมพิวเตอร์ และให้บริการเกี่ยวกับไอทีทุกชนิดรวมทั้งให้คำป,199/147 หมู่ที่ 3  ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11130
266,0125559006903,บจ.เอ็มโมรี่ จำกัด,8/3/2559," 1,000,000 ",47739,ประกอบกิจการซื้อมาขาขไป เกี่ยวกับสินค้าผลิตภัณฑ์เพื่อการซักผ้าทุกประเภท และผลิตภัณฑ์ทำความสะอาด,57/91 หมู่ที่ 1 โมดิวิลล่า ปิ่นเกล้าวงแหวน ซอย9 ถนนกาญจนาภิเษก  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
267,0125559006954,บจ.นอติคอล เทคโนโลยี่ จำกัด,9/3/2559," 1,000,000 ",30110,ดำเนินการ การต่อเรือ ซ่อมเรือ และธุรกิจอื่นทั้งหมดที่เกี่ยวข้องกับการต่อเรือและซ่อมเรือ,57/20 หมู่ที่ 1  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
268,0125559007004,บจ.แต๊งกิ้ว สตูดิโอ จำกัด,9/3/2559," 1,000,000 ",46414,ประกอบกิจการค้าและบริการเช่า เสื้อผ้าสำเร็จรูป เครื่องแต่งกาย เครื่องประดับกายและอื่น ๆ,199/151 หมู่บ้านไทมส์ พระราม 5 หมู่ที่ 3 ถนนบางกรวย-ไทรน้อย  ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130
269,0125559007063,บจ.ดับบลิว ที เค อินเตอร์กรุ๊ป จำกัด,9/3/2559," 1,000,000 ",46107,ประกอบกิจการนำเข้า ส่งออก จำหน่าย บริการและซ่อม ได้แก่ เครื่องเลื่อย เครื่องเชื่อม ใบเลื่อยใบมีด,30/5 หมู่ที่ 10  ต.วัดชลอ อ.บางกรวย จ.นนทบุรี 11130
270,0125559007217,บจ.ทีเอ็มไอเอส คอร์ปอเรชั่น จำกัด,10/3/2559," 1,000,000 ",82990,ประกอบกิจการด้านการตลาดให้กับบริษัททั้งในไทยและต่างประเทศ,16/145 หมู่ที่ 5 ถนนสำเร็จพัฒนา  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
271,0125559007225,บจ.เดสทินี่ ครีเอชั่น จำกัด,10/3/2559," 1,000,000 ",82302,รับจัดงานประชาสัมพันธ์ เปิดตัวสินค้า งานสัมนา ดูงาน งานแถลงข่าวทุกประเภท,87/87 หมู่ที่ 3  ต.วัดชลอ อ.บางกรวย จ.นนทบุรี 11130
272,0125559007373,บจ.โอเวอร์ซีร์ คอสเมติคส์ (นิวซีแลนด์) จำกัด,11/3/2559," 1,000,000 ",46319,ขายส่ง ขายปลีก อาหารเสริม เวชสำอาง,89/110 หมู่ที่ 4  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
273,0125559007560,บจ.เอเชีย รีโนวาเทค จำกัด,14/3/2559," 1,000,000 ",46639,ค้าขายวัสดุก่อสร้าง อะไหล่ และอุปกรณ์,124/20 หมู่ที่ 2  ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130
274,0125559007608,บจ.ซินเซอริทรี จำกัด,15/3/2559," 1,000,000 ",20232,ผลิตและจำหน่ายผลิตภัณฑ์เพื่อสุขภาพและความงาม,109/24 หมู่ที่ 2  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
275,0125559007748,บจ.อิฏฐพร จำกัด,16/3/2559," 1,000,000 ",46103,ประกอบกิจการนำเข้า ส่งออก ผลิต จำหน่าย ผ้าปูที่นอน ปลอกหมอน หมอน ที่นอน ผ้าห่ม,64/11 หมู่บ้านทวีโรจน์ หมู่ที่ 6 ถนนบางกรวย-ไทรน้อย  ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130
276,0125559007829,บจ.พรีแลนด์ แอสเสท จำกัด,17/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ,99/194 หมู่ที่ 4 ถนนราชพฤกษ์  ต.บางขนุน อ.บางกรวย จ.นนทบุรี 11130
277,0125559007993,บจ.กู๊ด เมเนจท์ (ประเทศไทย) จำกัด,18/3/2559," 1,000,000 ",47190,ประกบอกิจการซื้อมา ขายไป สินค้าออุปโภค บริโภค ทุกชนิด,4/139 หมู่ที่ 2  ต.บางคูเวียง อ.บางกรวย จ.นนทบุรี 11130
278,0125559008558,บจ.แฮนด์ดี้วิง จำกัด,23/3/2559," 1,000,000 ",58202,ประกอบกิจการให้บริการเว็ปไซด์และแอพพลิเคชั่นที่ให้ข้อมูลข่าวสาร รวมถึงข้อมูลอันเป็นประโยชน์,88/5 หมู่บ้านโกลเด้นทาวน์ปิ่นเกล้า-จรัญ หมู่ที่ 8  ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130
279,0125559008761,บจ.มูน จัมพ์ จำกัด,24/3/2559," 1,000,000 ",73101,ประกอบกิจการงานด้านผลิต รับจ้างผลิต ภาพยนต์ โฆษณา รายการโทรทัศน์ สื่อออนไลน์ และกิจการบันเทิง ทุกรูป,89/171 หมู่ที่ 1  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
280,0125559008892,บจ.พรีเมี่ยม ช้อยส์ จำกัด,25/3/2559," 1,000,000 ",46319,ประกอบกิจการค้า นำเข้า ส่งออก อาหารสด อาหารแห้ง เครื่องปรุงรส,96 หมู่บ้านเบญญาภา ราชพฤกษ์ หมู่ที่ 5 ถนนราชพฤกษ์  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
281,0125559009121,บจ.สยามทีควูด จำกัด,29/3/2559," 1,000,000 ",46494,ขายส่งเฟอร์นิเจอร์,95/67 หมู่ที่ 5  ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130
282,0125559009201,บจ.เทรนด์นิตี้ ซัพพลิเมนทารี่ ฟู้ดส์ จำกัด,30/3/2559," 1,000,000 ",47219,จัดจำหน่ายทั้งปลีกและส่ง อาหารเสริมเพื่อสุขภาพทุกชนิด,90/114 หมู่ที่ 6  ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130
283,0125559009236,บจ.สงขลาน้ำมันปาล์ม จำกัด,30/3/2559," 1,000,000 ",10420,ประกอบกิจการผลิตและสกัดน้ำมันปาล์ม,134/50 หมู่ที่ 1  ต.วัดชลอ อ.บางกรวย จ.นนทบุรี 11130
284,0125559009279,บจ.โบรันดี จำกัด,30/3/2559," 1,000,000 ",90001,ประกอบกิจการรับจ้างดำเนินการบูรณะปฎิสังขรณ์ โบราณสถาน โบราณวัตถุ จิตรกรรมฝาผนัง,107/60 หมู่ที่ 3  ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130
285,0123559001161,หจ.บิ๊ก อะ บิ๊ก,1/3/2559," 1,000,000 ",47912,ประกอบกิจการขายปลีกทางอินเตอร์เน็ต การส่งและการขายปลีกเสื้อผ้าสำเร็จรูป,73/33 หมู่ที่ 5  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
286,0123559001187,หจ.ซี.ที.ไทร์,1/3/2559," 1,000,000 ",45301,ประกอบกิจการนำเข้า ส่งออก และจำหน่ายยางรถยนต์  ทุกประเทภ,41/70 หมู่ที่ 4  ต.บางใหญ่ อ.บางใหญ่ จ.นนทบุรี 11140
