นิติบุคคลจัดตั้งเดือนพฤษภาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
94,0135559009970,บจ.อาร์ทสุดฟังก์ชัน จำกัด,25/5/2559," 1,000,000 ",63112,ประกอบกิจการให้บริการเช่าพื้นที่ร้านค้าและโฆษณาบนเว็บไซต์,55/73 หมู่ที่ 1 หมู่บ้านอินดี้ รังสิตคลองสาม  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120
95,0135559010005,บจ.ฟูลพิกเซล จำกัด,26/5/2559," 1,000,000 ",73101,ประกอบกิจการออกแบบและผลิตสื่อสิ่งพิมพ์ เพื่อการโฆษณาและประชาสันพันธ์,17/13 หมู่ที่ 1  ต.คลองห้า อ.คลองหลวง จ.ปทุมธานี 12120
96,0135559010111,บจ.อิลลูมิเนต บริดจ์ จำกัด,27/5/2559," 1,000,000 ",71102,ประกอบกิจการบริการ ปรึกษา ออกแบบ ติดตั้ง รื้อถอน เคลื่อนย้าย อุปกรณ์คอมพิวเตอร์ ระบบเครือข่าย,99/517 หมู่ที่ 2  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120
97,0135559010188,บจ.เอส บี คอมเมอร์เชียล 2559 จำกัด,27/5/2559," 1,000,000 ",01259,ประกอบกิจการทำสวน ทำไร่ เพาะปลูกและจำหน่ายพืชผลทางการเกษตร,59/4 หมู่ที่ 11 ถนนพหลโยธิน  ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120
98,0133559002132,หจ.เอส.เอส.พี. แมชชีน เอ็นจิเนียริ่ง,10/5/2559," 1,000,000 ",28199,ประกอบกิจการ รับทำและจำหน่าย ชิ้นส่วน อะไหล่ เครื่องจักรกล และอุปกรณ์ที่ใช้ในโรงงาน อุตสาหกรรมทุกชนิ,111/927 หมู่ที่ 1  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
99,0133559002141,หจ.บางกอก ฟรีซดราย โปรดักส์,10/5/2559," 1,000,000 ",10309,ประกอบกิจการผลิตและจำหน่ายทุเรียนอบแห้ง แปรรูป,106/10 หมู่ที่ 6  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
100,0133559002221,หจ.เบ็ญยุพาพร,13/5/2559," 1,000,000 ",82990,ประกอบกิจการประมูลงานแม่บ้าน ทำความสะอาด,97/77 หมู่ที่ 1  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
101,0133559002311,หจ.แฟคทอรี่ เมคคาทรอนิกส์ เอ็นจิเนียริ่ง,18/5/2559," 1,000,000 ",71102,ประกอบกิจการให้บริการวางแผนการออกแบบ และการผลิตเครื่องจักรทั้งหมด,50/141 หมู่ที่ 1  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
102,0133559002396,หจ.โชติจิรวัฒน์,25/5/2559," 1,000,000 ",46414,ประกอบกิจการค้าผลิตออกแบบเสื้อผ้าสำเร็จรูปเสื้อผ้ามือสองขายปลีกขายส่งทั้งนำเข้าส่งออก,965/112 ถนนรังสิต-นครนายก  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
103,0135559008663,บจ.แอมฟายน์ กรุ๊ป จำกัด,2/5/2559," 1,000,000 ",96104,ประกอบกิจการทางด้านความงาม การฉีด การดูด การผ่าตัดตกแต่งเสริมความงามทุกชนิดทุกประเภท,1/827 หมู่ที่ 17  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
104,0135559008744,บจ.เจริญรุ่งกิจ จำกัด,2/5/2559," 1,000,000 ",46411,ประกอบกิจการค้าผ้า ด้าย ชุดเครื่องนอน ผ้าปูที่นอน ผ้าห่ม เครื่องนุ่งห่ม ชุดนอน และเครื่องอุปโภค,296 ซอยพหลโยธิน 127  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
105,0135559008761,บจ.คราส เซอร์วิสเซส จำกัด,2/5/2559," 1,000,000 ",69200,ให้บริการตรวจสอบบัญชี ทำบัญชีและการให้คำปรึกษาด้านภาษี,288 ซอยรังสิต-ปทุมธานี 2  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
106,0135559008809,บจ.วัน ทู กรุ๊ป จำกัด,3/5/2559," 1,000,000 ",46695,ประกอบกิจการซื้อ-ขาย วัสดุเหลือใช้ที่สามารถนำกลับมาใช้ใหม่ได้ทุกชนิด,124/180 หมู่ที่ 1  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
107,0135559008850,บจ.พรพิรุณ คอนสตรัคชั่น จำกัด,4/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,199/18 หมู่ที่ 1 ถนนชลมาศพิจารณ์  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
108,0135559008892,บจ.วานาติคอลดีไซน์ จำกัด,4/5/2559," 1,000,000 ",74109,ให้บริการรับออกแบบผลิตภัณฑ์ สินค้าแบรนด์ ประเภทรถยนต์ ทุกประเภท,969/14 ถนนรังสิต-นครนายก  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
109,0135559009015,บจ.ทีเอ็น 168 ทรานสปอร์ต จำกัด,11/5/2559," 1,000,000 ",49323,ประกอบกิจการให้บริการขนส่งขนถ่ายสินค้าอาหารและเครื่องบริโภคอื่นๆทั้งทางบก ทางน้ำ ทางอากาศ,12/119 หมู่ที่ 4  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
110,0135559009040,บจ.พรีม่า คอฟฟี่ จำกัด,11/5/2559," 1,000,000 ",46322,ประกอบกิจการจำหน่ายเครื่องดื่ม เครื่องบริโภค,19/126 หมู่ที่ 1  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
111,0135559009066,บจ.เพกาซัส เอ็นจิเนียริ่ง จำกัด,11/5/2559," 1,000,000 ",43210,บริการติดตั้งซ่อมแซมบำรุงรักษาระบบไฟฟ้าโทรศัพท์ประปา,111/1005 หมู่ที่ 1  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
112,0135559009082,บจ.งามตานิมิต จำกัด,11/5/2559," 1,000,000 ",96104,ประกอบกิจการสถานเสริมความงาม,1212/343 ถนนเลียบคลองรังสิต  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
113,0135559009104,บจ.ซีทูเอ็มอี จำกัด,12/5/2559," 1,000,000 ",46106,ประกอบกิจการนำเข้า และส่งออกสินค้ากลุ่มพลังงานทดแทน,19/352 หมู่ที่ 1  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
114,0135559009171,บจ.โซปบุรี จำกัด,12/5/2559," 1,000,000 ",20232,ประกอบกิจการโรงานสบู่ น้ำมัน เนยเทียม นำมันซักเงา นม และเครื่องสำอางค์,600/504 หมู่ที่ 14  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
115,0135559009261,บจ.ดี-ไนน์ เอ็นจิเนียริ่ง จำกัด,13/5/2559," 1,000,000 ",33141,การซ่อมมอเตอร์ไฟฟ้าเครื่องเครื่องกำเนิดไฟฟ้าหม้อแปลงไฟฟ้า และอุปกรณ์การควบคุมและจ่ายไฟฟ้า,11/119 หมู่ที่ 18 ซอยลำลูกกา 31 ถนนลำลูกกา  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
116,0135559009295,บจ.เศรษฐี 49 จำกัด,16/5/2559," 1,000,000 ",70209,ประกอบธุรกิจรับเป็นที่ปรึกษา ให้การฝึกอบรม รับจัดการธุรกิจเกี่ยวกับการบริหารงานขายและขยายตลาด,1212/288 ถนนเลียบคลองรังสิต  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
117,0135559009341,บจ.เอ็นคอน เอ็นจิเนียริ่ง จำกัด,17/5/2559," 1,000,000 ",41002,ประกอบกิจการ รับเหมาก่อสร้างอาคาร บ้านเรือน ทำถนน ประปา ไฟฟ้า กับหน่วยงานราชการ,20/20 หมู่ที่ 18  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
118,0135559009414,บจ.ช.ไชยมงคล การช่าง จำกัด,18/5/2559," 1,000,000 ",41002,รับเหมางานก่อสร้างทุกชนิด,96/240 หมู่ที่ 6  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
119,0135559009546,บจ.นิโกโย ออโต้พาร์ท จำกัด,19/5/2559," 1,000,000 ",45301,การขายปลีกชิ้นส่วนและอุปกรณ์เสริมใหม่ของยานยนต์,16/86 หมู่ที่ 18  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
120,0135559009562,บจ.เอ.ดี.รับเหมาก่อสร้าง 2016 จำกัด,19/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน เขื่อน,69/175 หมู่ที่ 3  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
121,0135559009571,บจ.จีเอฟอาร์ ฟาร์มา (ประเทศไทย) จำกัด,19/5/2559," 1,000,000 ",46443,ประกอบกิจการเครื่องสำอาง อาหารเสริม นำเข้า ส่งออก,1/827 หมู่ที่ 17  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
122,0135559009597,บจ.แอดวานซ์ เว็นเท็ค จำกัด,19/5/2559," 1,000,000 ",46105,ตัวแทนจำหน่ายเครื่องจักรจากต่างประเทศ,600/961 หมู่บ้านสีวลี หมู่ที่ 14 ซอย4/1 ถนนพหลโยธิน  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
123,0135559009635,บจ.รักษาความปลอดภัย เค พี พี จำกัด,23/5/2559," 1,000,000 ",80100,ประกอบกิจการ รักษาความปลอดภัย ทุกประเภท,28/21 หมู่ที่ 1  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
124,0135559009651,บจ.ชนะศิลป์ เอ็นจิเนียริ่ง 2559 จำกัด,23/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร อาคารพาณิชย์,84 ซอยรังสิต-นครนายก 25  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
125,0135559009678,บจ.อารีรักษ์ ก่อสร้าง 2016 จำกัด,23/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,400/33 หมู่ที่ 8  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
126,0135559009694,บจ.เดลต้าเทค (ประเทศไทย) จำกัด,23/5/2559," 1,000,000 ",26303,การผลิตและจำหน่ายอุปกรณ์สื่อสารข้อมูลที่ใช้ในการส่งสัญญาณอิเล็กทรอนิกส์,99 (ห้องZ003/3) หมู่ที่ 8 ถนนพหลโยธิน  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
127,0135559009732,บจ.เอส.บี.พี. เอ็นจิเนียริ่ง แอนด์ เซอร์วิส จำกัด,24/5/2559," 1,000,000 ",46599,ประกอบกิจการค้าเครื่องปรับอากาศ เครื่องฟอกอากาศ เครื่องใช้ไฟฟ้า วัสดุอุปกรณ์ทุกประเภท,40 ซอยรังสิต-นครนายก 38  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
128,0135559009848,บจ.ยังยูนิเวิร์ส จำกัด,24/5/2559," 1,000,000 ",20232,ประกอบกิจการ ผลิต จำหน่าย เครื่องสำอาง เมคอัพ และเครื่องบำรุงผิวทุกชนิด,600/1240 หมู่ที่ 14 ถนนพหลโยธิน  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
129,0135559009988,บจ.หงษ์ไท่หลาน 2016 จำกัด,25/5/2559," 1,000,000 ",47721,ประกอบกิจการค้า ยา ยารักษาโรค เภสัชภัณฑ์ เคมีภัณฑ์ ทุกชนิด,4/105 หมู่ที่ 18 ถนนลำลูกกา  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
130,0135559010030,บจ.ณัฎฐ์นิธิศชา จำกัด,26/5/2559," 1,000,000 ",69100,การให้คำปรึกษาในคดีแพ่งคดีอาญา,18 หมู่บ้านชมฟ้า-วรากูล ซอยรังสิต-นครนายก 64 ถนนรังสิต-นครนายก  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
131,0135559010048,บจ.ไทเจริญมหาศาล จำกัด,26/5/2559," 1,000,000 ",46695,รับซื้อและจำหน่ายเศษโลหะ โลหะ อลูมีเนียม เหล็ก ทองเหลือง ทองแดงทุกชนิด ทุกประเภท,97/618 หมู่บ้านซื่อตรง หมู่ที่ 1  ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130
132,0135559010072,บจ.เอ็ม คอร์ป กรุ๊ป จำกัด,26/5/2559," 1,000,000 ",18119,ประกอบกิจการบริการ ออกแบบสื่อสิ่งพิมพ์ กราฟฟิกดีไซด์,"1/827, ชั้น 3 หมู่ที่ 17  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130"
133,0135559010218,บจ.โอทอปเน็ตเวิร์ค (ประเทศไทย) จำกัด,30/5/2559," 1,000,000 ",46900,ขายปลีก ส่งสินค้าโอทอปทุกชนิด,502/109 หมู่ที่ 3  ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130
134,0135559010293,บจ.โชว์ไทม์ คลินิก จำกัด,31/5/2559," 1,000,000 ",86202,ประกอบกิจการคลีนิคเวชกรรม เสริมความงาม,308 ถนนรังสิต-ปทุมธานี  ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130
135,0135559008728,บจ.กิจอำนวยชัย 2559 จำกัด,2/5/2559," 1,000,000 ",46109,ประกอบกิจการเป็นตัวแทนจำหน่ายสินค้าอุปโภคบริโภค เพื่อขายส่ง ขายปลีกทุกชนิด,19/28 หมู่ที่ 1  ต.ระแหง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140
136,0135559008876,บจ.รีช คอนสตรัคชั่น แอนด์ เซอร์วิส 2559 จำกัด,4/5/2559," 1,000,000 ",11041,ประกอบกิจการผลิตน้ำดื่มเพื่อจำหน่าย,88/168 หมู่บ้านภัทรรินทร์ หมู่ที่ 6  ต.คูบางหลวง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140
137,0135559009392,บจ.อนันตะ เน็ตเวิร์ค โซลูชั่น จำกัด,18/5/2559," 1,000,000 ",62023,ประกอบกิจการจัดการสิ่งอำนวยความสะดวกด้านคอมพิวเตอร์,60/57 หมู่ที่ 1  ต.คูขวาง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140
138,0135559009481,บจ.เอ็กซ์กรีต เอ็นจิเนียริ่ง ซัพพลาย จำกัด,19/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการงานก่อสร้างอย่างอื่นทุกชนิด,111/188 หมู่ที่ 1  ต.ระแหง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140
139,0135559009759,บจ.ศักดิ์อมร โซอิ้ง จำกัด,24/5/2559," 1,000,000 ",46499,จำหน่ายจักรเย็บผ้า จักรอุตสาหกรรม อะไหล่ ชิ้นส่วน อุปกรณ์เย็บผ้าทุกชนิด ให้บริการติดตั้ง ซ่อมแซม,7/134 หมู่ที่ 7  ต.คลองพระอุดม อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140
140,0135559009830,บจ.บี วี เอ็น เซอร์วิส จำกัด,24/5/2559," 1,000,000 ",80100,ประกอบกิจการให้บริการ จัดหา บริการด้านความปลอดภัย,77/8 หมู่ที่ 1  ต.ระแหง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140
141,0135559009937,บจ.บลู แอมเบอร์ เอ็นจิเนียริ่ง จำกัด,25/5/2559," 1,000,000 ",47411,ขายอุปกรณ์คอมพิวเตอร์ ซ่อมคอมพิวเตอร์ เขียนโปรแกรม,30/4 หมู่ที่ 12  ต.คูบางหลวง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140
142,0135559009996,บจ.ฉัตรแก้ว โลจิสติกส์ จำกัด,26/5/2559," 1,000,000 ",52292,ประกอบกิจการเป็นตัวแทนจัดการรับขนถ่ายสินค้า และบริการขนส่งสินค้าให้แก่ลูกค้าภายในประเทศ,1/53 หมู่ที่ 3  ต.ลาดหลุมแก้ว อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140
143,0133559002116,หจ.คาเฟ่ เดอ เพ็ท,4/5/2559," 1,000,000 ",46441,ประกอบกิจการค้ายา ยารักษาโรคสัตว์ เภสัชภัณฑ์ ยาปราบศัตรูพืช อาหารสัตว์,77/134 หมู่ที่ 17  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
144,0133559002124,หจ.อีสเทิร์น อินทีเรีย อาร์คิเทคเจอร์,4/5/2559," 1,000,000 ",74101,รับจ้างออกแบบตกแต่งภายใน ออกแบบสถาปัตยกรรม,39/38 หมู่ที่ 4  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
145,0133559002451,หจ.เอ พี พี โลจิสติกส์,30/5/2559," 1,000,000 ",49323,กิจการขนส่ง และขนถ่ายสินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ทั้งภายในประเทศและระหว่างประเทศ,15/77 หมู่ที่ 5  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
146,0135559008680,บจ.ซี.เค.เอ็น.ซัคเซส เอ็นจิเนียริ่ง จำกัด,2/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัยและงานก่อสร้างอย่างอื่น,53/82 หมู่บ้านพฤกษา 92 หมู่ที่ 9  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
147,0135559008736,บจ.ที.ทรานสปอร์ตแอนด์ซัพพอร์ท จำกัด,2/5/2559," 1,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้าและคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ,25/5 หมู่ที่ 12  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
148,0135559008825,บจ.ไทดา จำกัด,3/5/2559," 1,000,000 ",22191,ประกอบกิจการนำเข้ ส่งออก ในการผลิตและจำหน่ายยางพารา,60/285 หมู่บ้านพัทธรินทร์ ซอย 4 หมู่ที่ 6  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
149,0135559008922,บจ.ณะสะติ คอนสตรัคชั่น จำกัด,10/5/2559," 1,000,000 ",46109,ประกอบกิจการสั่งซื้อสินค้า ขายสินค้า จัดหาสินค้า ทุกประเภท,91/185 หมู่ที่ 4  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
150,0135559009074,บจ.พีเอสเอสเค จำกัด,11/5/2559," 1,000,000 ",68102,ประกอบกิจการพัฒนาอสังหาริมทรัพย์ ซื้อ ขาย ที่ดิน อาคาร ที่อยู่อาศัย สนามกอล์ฟ,8 หมู่ที่ 7  ต.ลำไทร อ.ลำลูกกา จ.ปทุมธานี 12150
151,0135559009091,บจ.พีพีเอ ทรัพย์โสภา จำกัด,12/5/2559," 1,000,000 ",46622,ประกอบกิจการค้าเหล็กทุกชนิด,2/5 หมู่ที่ 18 ถนนลำลูกกา  ต.ลำลูกกา อ.ลำลูกกา จ.ปทุมธานี 12150
152,0135559009112,บจ.วัฒนเอื้ออังกูร จำกัด,12/5/2559," 1,000,000 ",46900,"ประกอบกิจการขายสินค้าอุปโภคบริโภคทุกชนิด เช่น อาหารเสริมสุขภาพ,เครื่องสำอาง ของใช้ในครัวเรือน",68/29 หมู่ที่ 5  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
153,0135559009163,บจ.อนุชา การ์เด้น จำกัด,12/5/2559," 1,000,000 ",47733,ประกอบกิจการ ขายต้นไม้ รับออกแบบจัดสวนภายนอกภายในอาคารและที่อยู่อาศัย,5/3 หมู่ที่ 5  ต.บึงคอไห อ.ลำลูกกา จ.ปทุมธานี 12150
154,0135559009228,บจ.กิ๊ฟออริจินอล จำกัด,13/5/2559," 1,000,000 ",10303,การผลิตน้ำผลไม้และน้ำผักชนิดไม่เข้มข้น ที่ไม่ได้หมักและไม่เติมสุรา การผลิตน้ำผักผสมน้ำผลไม้,19/22 หมู่ที่ 6  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
155,0135559009279,บจ.ทีเอ็นเค (ประเทศไทย) จำกัด,16/5/2559," 1,000,000 ",46319,ประกอบกิจการจำหน่าย ผลิตภัณฑ์อาหารบำรุงสุขภาพ ผลิตภัณฑ์ อาหารเสริมผลิตภัณฑ์เสริมความงาม,77/177 หมู่ที่ 17  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
156,0135559009287,บจ.ริชโฮม คอนสตรัคชั่น จำกัด,16/5/2559," 1,000,000 ",43210,ประกอบกิจการ รับเหมาก่อสร้าง เดินระบบไฟฟ้า ประปา สุขาภิบาล ทุกชนิด,87/26 หมู่ที่ 7  ต.ลำลูกกา อ.ลำลูกกา จ.ปทุมธานี 12150
157,0135559009309,บจ.พี แอนด์ เอส ขนส่ง จำกัด,16/5/2559," 1,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้าและคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ทั้งภายในประเทศและระหว่างประเทศ,91/11 หมู่ที่ 4  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
158,0135559009350,บจ.บี แอนด์ ปอง อลูแคท จำกัด,17/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,90/403 หมู่ที่ 6  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
159,0135559009376,บจ.นาราชาบิวเทียส จำกัด,17/5/2559," 1,000,000 ",20232,ประกอบกิจการผลิตและจำหน่ายผลิตภัณฑ์เสริมความงามที่มีส่วนผสมของสมุนไพรต่างๆ,77/68 หมู่ที่ 6  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
160,0135559009449,บจ.เค.พี.เค.อิมพอร์ต แอนด์ เอ็กพอร์ต จำกัด,18/5/2559," 1,000,000 ",46102,ประกอบกิจการนำเข้าและส่งออก อาหารและเครื่องดื่มทุกชนิด สินค้าอุปโภค บริโภคทุกชนิด,49/298 หมู่ที่ 5  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
161,0135559009520,บจ.ทีมา อีควิปเม้นท์ ซัพพลาย จำกัด,19/5/2559," 1,000,000 ",46622,ประกอบกิจการขาย เหล็กและสแตนเลสใช้ในงานอุตสาหกรรม,48/172 หมู่ที่ 5  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
162,0135559009724,บจ.รักษาความปลอดภัย ทีอาร์เอ็ม จำกัด,24/5/2559," 1,000,000 ",80100,ประกอบกิจการให้บริการด้านการรักษาความปลอดภัย,88/133 หมู่บ้านเดอะทรัสต์ วิลล์ รังสิต หมู่ที่ 6  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
163,0135559009741,บจ.พีเค เอ็กเซลเลนท์ เอ็นจิเนียริ่ง จำกัด,24/5/2559," 1,000,000 ",43210,ออกแบบ ติดตั้ง ซ่อมแซม ตรวจสอบงานระบบภายในโรงงาน เช่น ระบบไฟฟ้า และงานระบบอื่น ๆ ทุกระบบ,37/21 หมู่ที่ 3  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
164,0135559009767,บจ.ฤทธิ์ เอ็นเตอร์ไพรส์ จำกัด,24/5/2559," 1,000,000 ",41002,การก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,80/47 หมู่บ้านเอส.วิลล์ ลำลูกกา คลอง4 หมู่ที่ 6  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
165,0135559009872,บจ.มนูญกิจ เทรดดิ้ง จำกัด,25/5/2559," 1,000,000 ",46315,จำหน่ายสินค้า เกษตรทุกชนิด ได้เเก่ ข้าวสาร,39/105 หมู่ที่ 4  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
166,0135559010013,บจ.อีธาน ซัพพลาย จำกัด,26/5/2559," 1,000,000 ",46441,จำหน่ายเวชภัณฑ์ทางการแพทย์ เครื่องมือแพทย์,88/19 หมู่ที่ 12  ต.ลำลูกกา อ.ลำลูกกา จ.ปทุมธานี 12150
167,0135559010021,บจ.เอสจี เคม (ประเทศไทย) จำกัด,26/5/2559," 1,000,000 ",46491,ประกอบกิจการนำเข้า และจัดจำหน่ายม้วนฟิล์ม และเทปทุกชนิด,67/3 หมู่ที่ 5 ซอยเทศบาล 13 ถนนลำลูกกาเลียบคลอง 7  ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150
168,0135559010056,บจ.เอ.ซี.แอล. พลาสติก จำกัด,26/5/2559," 1,000,000 ",25910,ประกอบกิจการผลิตแบบแม่พิมพ์พลาสติกและเม็ดพลาสติก,6/15 หมู่ที่ 4  ต.ลำลูกกา อ.ลำลูกกา จ.ปทุมธานี 12150
169,0135559010099,บจ.เอ็ม.วาย.ที. จำกัด,27/5/2559," 1,000,000 ",46599,ประกอบกิจการจัดจำหน่ายวัสดุ อุปกรณ์ที่ใช้ในสำนักงานและโรงงานทุกชนิด,70/28 หมู่ที่ 4 ถนนลำลูกกา  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
170,0135559010102,บจ.ทีเคเค คอร์ปอเรชั่น กรุ๊ป จำกัด,27/5/2559," 1,000,000 ",46521,ประกอบกิจการค้าอุปกรณ์ไฟฟ้าและชิ้นส่วนอิเลคทรอนิกส์ทุกชนิดทุกประเภททั้งในและต่างประเทศ,98/22 หมู่ที่ 5  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
171,0135559010137,บจ.ภูมิพัฒน์ เทเลคอม จำกัด,27/5/2559," 1,000,000 ",43210,รับออกแบบติดตั้งเครือข่ายสายใยแก้วนำแสง ระบบเครือข่ายคอมพิวเตอร์ ซ่อมแซมปรับปรุงเครือข่าย,26/11 หมู่ที่ 10  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
172,0135559010251,บจ.อินฟินิตี้ แอดวานซ์ เทคโนโลยี จำกัด,30/5/2559," 1,000,000 ",46109,การขายส่งสินค้าทั่วไปโดยได้รับค่าตอบแทนหรือตามสัญญาว่าจ้าง,79/373 หมู่บ้านพฤกษา 78 หมู่ที่ 8 ซอย7 ถนนลำลูกกา  ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150
173,0135559008957,บจ.คาร์ป คอร์ปอเรชั่น จำกัด,10/5/2559," 1,000,000 ",28199,ประกอบกิจการผลิตและจำหน่ายเครื่องมือ เครื่องจักรอุตสาหกรรมทุกชนิด,39/227 หมู่ที่ 4  ต.สามโคก อ.สามโคก จ.ปทุมธานี 12160
174,0135559009317,บจ.ดินบันดาล การโยธา จำกัด,16/5/2559," 1,000,000 ",81300,ประกอบกิจการรับจัดตกแต่งสวน,61/4 หมู่ที่ 8  ต.คลองควาย อ.สามโคก จ.ปทุมธานี 12160
